id,Opening_code,opening_name,Opening_moves
Xwpzq87m,C18,French Defense: Winawer Variation |  Advance Variation #2,11
AHmgnsKz,D02,Queen's Pawn Game: London System,5
MfNml1rl,D00,Queen's Pawn Game: Mason Attack,3
mEAvshF2,C00,French Defense: Knight Variation,3
ySsVdRfw,D02,Queen's Pawn Game: London System,5
ylLqmXwb,C00,French Defense: Queen's Knight,3
8mceLIXN,D00,Queen's Pawn Game: Steinitz Countergambit,4
YmJpuJkM,D02,Queen's Pawn Game: London System,5
PNNfempy,A47,Queen's Indian Defense,4
TVfozmF5,A40,Horwitz Defense,2
4LX77G3m,D02,Queen's Pawn Game: London System,5
nBfSissu,C50,Italian Game: Giuoco Pianissimo |  Normal,8
h1unxHlo,D06,Queen's Gambit Refused: Marshall Defense,4
OIyTAHCP,D06,Queen's Gambit Refused: Marshall Defense,4
bnCnIJSz,C10,French Defense: Marshall Variation,6
ZzWyY1f8,C45,Scotch Game,7
mkKSL3Ev,C02,French Defense: Advance Variation |  Main Line,11
aVwWNjNR,C41,Philidor Defense,5
DNUmSBH4,D80,Gruenfeld Defense,6
Tlng5eqN,C00,French Defense: Knight Variation,3
wljkejE0,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
iNZuj8bY,D30,Queen's Gambit Declined: Traditional Variation,7
Kan2JKOp,D20,Queen's Gambit Accepted: Old Variation,5
bCUwPEJ7,C02,French Defense: Advance Variation |  Paulsen Attack,9
zTwM10Si,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
PBQ5Il7e,D20,Queen's Gambit Accepted: Old Variation,5
z1LTn4pe,A46,Yusupov-Rubinstein System,5
7NKtCk3B,D31,Queen's Gambit Declined: Queen's Knight Variation,5
TMtvbg3w,C64,Ruy Lopez: Classical Variation,6
0OXPfTEt,D02,Queen's Pawn Game: Zukertort Variation,3
YzMf40DM,D02,Queen's Pawn Game: London System,5
q3NHAFFp,C64,Ruy Lopez: Classical Variation |  Central Variation,7
Gz7Icasx,C24,Bishop's Opening: Ponziani Gambit,5
3n4poRIX,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
XRuQPSzH,A08,King's Indian Attack: French Variation,6
XPZikam7,D02,Queen's Pawn Game: London System,5
5SNh53F9,B00,Nimzowitsch Defense: Mikenas Variation,4
ezdEKpqG,C50,Italian Game,5
WyQjriEX,B03,Alekhine Defense #2,5
vAOIY0jj,B29,Sicilian Defense: Nimzowitsch Variation,4
gHld9WSr,C50,Four Knights Game: Italian Variation,8
dh2xQb3X,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
TKwuIzb6,C55,Italian Game: Anti-Fried Liver Defense,6
s752sCLr,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
lKYmVLZt,B02,Alekhine Defense: Maroczy Variation,3
dRhehsEy,D06,Queen's Gambit Refused: Marshall Defense,4
7rbdtPwO,C55,Italian Game: Anti-Fried Liver Defense,6
ahwTovI0,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
fgK91ojo,B13,Caro-Kann Defense: Exchange Variation,5
Cmhkui8U,D00,Queen's Pawn Game #2,3
TRpFAEWd,B57,Sicilian Defense: Modern Variations |  Main Line,8
btHFH9xr,A20,English Opening: King's English Variation,2
G9xaiPFl,B00,Goldsmith Defense,2
RkMlSx4r,E20,Nimzo-Indian Defense,6
Z1CTghfR,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
X4QqWp8Q,B02,Alekhine Defense,2
R6dF4yRx,D06,Queen's Gambit Refused: Marshall Defense,4
PLxCc87r,C50,Italian Game,5
p7a4FGwp,C50,Four Knights Game: Italian Variation,8
3udM9T6k,E11,Bogo-Indian Defense: Exchange Variation,8
hkMNenrh,B02,Alekhine Defense,2
jrmlULM0,B02,Alekhine Defense: Saemisch Attack,5
JbLparSt,C40,King's Knight Opening,3
mqZFkCf3,D30,Queen's Gambit Declined,4
dZn9WLT5,C11,French Defense: Classical Variation |  Steinitz Variation,7
MgL176RS,B02,Alekhine Defense: Two Pawn Attack,5
V16nc5AF,C28,Vienna Game: Vienna Gambit,5
GT8TdRlm,B06,Modern Defense,2
2P2u5f63,B01,Scandinavian Defense: Panov Transfer,6
15nlkNRf,A46,Yusupov-Rubinstein System,5
xwl41jna,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
1zRjgcqm,A56,Benoni Defense,4
vfnLULoh,B27,Sicilian Defense: Hyperaccelerated Dragon,4
ut6LIGPI,C55,Italian Game: Anti-Fried Liver Defense,6
1KbSJtjs,C65,Ruy Lopez: Berlin Defense #2,6
cqrATt9o,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
deKfSOPy,C00,French Defense: Knight Variation,3
vQ1psjxd,B50,Sicilian Defense: Delayed Alapin,5
k1qV5HHz,B51,Sicilian Defense: Canal-Sokolsky Attack,5
QQ3iIM2V,E00,Amar Opening,1
GppFo58m,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
BoDJGVyk,B50,Sicilian Defense,4
tqirXAEm,A40,Queen's Pawn,1
GLC4oNZR,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
3eLsB99C,B22,Sicilian Defense: Alapin Variation,3
M6zMVwqK,B40,Sicilian Defense: French Variation,4
yrQWTJVz,C00,French Defense: Knight Variation,3
aF6DiZZe,A45,Paleface Attack,3
0dm3RaQv,B50,Sicilian Defense,4
BxxAvvER,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
fPPfEuu5,B50,Sicilian Defense,4
Hysqcekp,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
oaKcGCrO,C61,Ruy Lopez: Bird Variation,6
xMezmOBz,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11
46AuHfcq,E10,Blumenfeld Countergambit #2,6
A7ddojjI,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
SGqoxO3v,C78,Ruy Lopez: Morphy Defense #2,12
pHJ5zXyE,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
WqMvA7iE,B30,Sicilian Defense: Old Sicilian,4
s3v6jMaX,B10,Caro-Kann Defense,2
hl3zLZmV,D06,Queen's Gambit Refused: Marshall Defense,4
PHYPEO42,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
NgZ8xxFe,B30,Sicilian Defense: Old Sicilian,4
1ZeBVc5V,C41,Philidor Defense,5
OmwDxZpJ,B22,Sicilian Defense: Alapin Variation,3
JewxmuG9,B20,Sicilian Defense,2
0gTDO6Av,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
t7vvcwqO,A00,Hungarian Opening,1
igSDFKv0,D00,Queen's Pawn Game #3,4
facMwkUo,A00,Van't Kruijs Opening,1
j5KY62yS,C00,French Defense: Normal Variation,3
nyYULwUl,C22,Center Game: Berger Variation,8
h0YsGMhj,C54,Italian Game: Giuoco Piano |  Greco's Attack,13
o4T7dj5h,C50,Four Knights Game: Italian Variation,8
VgNt0SSX,C41,Philidor Defense #3,5
UvqLtnPM,C68,Ruy Lopez: Exchange Variation,7
1b0kpInt,B12,Caro-Kann Defense,3
dJEtAQp7,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
ZPHBiKBY,C22,Center Game: Normal Variation,6
I8odmGjb,C45,Scotch Game,7
DijZlfMy,C41,Philidor Defense #3,5
LyRqbD4d,A40,Englund Gambit Declined |  Reversed French,3
CvakmVNb,C50,Giuoco Piano,6
O037dETy,A42,Sicilian Defense: Hyperaccelerated Fianchetto,5
CxQlHSnq,C44,Scotch Game,5
Q0jogkvi,C41,Philidor Defense #3,5
QurxyQkA,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
mJ9VpdxV,C55,Italian Game: Anti-Fried Liver Defense,6
edYOVb5F,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
GstYv2mJ,A00,Crab Opening,3
dFQ5D7CS,C41,Philidor Defense #4,6
2FpFvoMt,C42,Petrov's Defense,4
cywOBEY5,D07,Queen's Gambit Refused: Chigorin Defense #2,5
pnU8dLUx,B27,Sicilian Defense: Jalalabad Variation,4
lE65efFF,C55,Italian Game: Anti-Fried Liver Defense,6
bCVL4bZl,D02,Queen's Pawn Game: London System,5
WUyPeYW8,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11
xRY7h8aS,B32,Sicilian Defense: Open #3,7
92UGyHOr,C68,Ruy Lopez: Exchange Variation,7
UqxaqU7R,C42,Russian Game: Damiano Variation |  Kholmov Gambit,8
TTzZc8gW,A22,English Opening: Carls-Bremen System,5
F7oADKYb,C50,Italian Game,5
GoYkQEoS,C46,Four Knights Game,6
DszY6Pr4,B07,Pirc Defense #4,2
FhJcOzZW,A06,Zukertort Opening: Old Indian Attack,3
kKFslhlg,A04,Zukertort Opening: Sicilian Invitation,2
VVkKGe4E,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
11VaOez1,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
2akR3Bit,C41,Philidor Defense,5
mG2dEz4z,B07,King's Pawn Game: Maroczy Defense,4
xrZnbIGD,B30,Sicilian Defense: Old Sicilian,4
lOU3lddA,C42,Russian Game: Damiano Variation,6
xYEVgk0W,C77,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9
QnXuc72h,B00,St. George Defense,2
ejaSwZEr,A00,Van't Kruijs Opening,1
3ZfA3gFa,A22,English Opening: King's English Variation |  Two Knights Variation,4
WoOqoYEL,C60,Ruy Lopez,5
EgoW2NiE,B01,Scandinavian Defense,2
ZctgRAt4,C41,Philidor Defense #2,4
VuZ0dzhO,C40,King's Pawn Game: McConnell Defense,4
1cvi4Z6K,C41,Philidor Defense #2,4
E83xJFBo,C44,Scotch Game,5
hVSNfLer,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
XyM6zTew,C61,Ruy Lopez: Bird Variation,6
5sEcA5zs,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
wXnKMk3N,C21,King's Pawn Game: Beyer Gambit,4
YPVYpEvm,C64,Ruy Lopez: Classical Variation,6
rth667hB,C50,Italian Game,5
rb7lq7dT,D20,Queen's Gambit Accepted: Old Variation,5
hxMTrlzW,C55,Italian Game: Anti-Fried Liver Defense,6
hfNJtVnd,A07,King's Indian Attack: Keres Variation #2,4
ijtzfFex,A10,English Opening: Anglo-Scandinavian Defense,2
Uc64bIGE,B40,Sicilian Defense: Marshall Counterattack,6
o1qwAoUy,C02,French Defense: Advance Variation #4,6
voV4ekhS,C00,French Defense: Knight Variation,3
VUCRbEm8,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
LDLdtyDj,E20,Nimzo-Indian Defense #2,5
Gr1n1AdP,A02,Bird Opening,1
1TpYTEKR,B32,Sicilian Defense: Open #3,7
AUzK1bj8,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11
R5SfPQiB,A00,Hungarian Opening: Indian Defense,2
VXdhNTk5,B00,Owen Defense,2
kTRSenmv,C50,Italian Game,5
FE7B5vY8,A03,Bird Opening,2
PEIWrbTQ,B54,Sicilian Defense,5
8hlHAFPF,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
BwBDbyKq,C55,Italian Game: Anti-Fried Liver Defense,6
E41MaCB9,B12,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,11
UVbhSOnA,D03,Queen's Pawn Game: Torre Attack,5
HYMGpINp,D00,Queen's Pawn Game,2
L9UeFctE,C10,French Defense: Marshall Variation,6
DbYHY9Bc,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
7fftvkF6,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
IlQp1eqc,D31,Semi-Slav Defense: Noteboom Variation,8
atgsbOBS,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
Kx4jd1Oo,B06,Robatsch (Modern) Defense,4
5vg0pHEg,D30,Queen's Gambit Declined,4
5uNNVd3c,C69,Ruy Lopez: Exchange Variation |  Normal Variation,9
aGVLNoTY,C40,King's Pawn Game: Damiano Defense,4
W4eyc9dH,C50,Italian Game: Schilling-Kostic Gambit,6
l2My0J1h,D41,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation,18
eRHQGmr2,E20,Nimzo-Indian Defense: Ragozin Variation,8
D45fTp2y,A31,English Opening: Symmetrical Variation |  Anti-Benoni Variation,5
lTOKfWMv,A00,Van't Kruijs Opening,1
sd7oPNum,C46,Four Knights Game,6
xLmd5oZZ,D46,Semi-Slav Defense: Chigorin Defense,12
T3gAyyeH,B27,Sicilian Defense: Quinteros Variation,4
HDPjH5bD,C44,King's Pawn Game: Dresden Opening,5
cFSW3SMi,B06,Modern Defense,2
wsNnVC6Y,A40,English Defense #2,2
UxvU6EN4,C00,French Defense: Steinitz Attack,3
mjXUQnww,C34,King's Gambit Accepted |  Fischer Defense,6
lC84DiKq,A03,Bird Opening: Dutch Variation,2
A17jdHS8,A03,Bird Opening,2
t5ixT6HN,C46,Four Knights Game: Gunsberg Variation,7
8uZRNw8n,C48,Four Knights Game: Ranken Variation,9
vwQzM7Sg,C34,King's Gambit Accepted |  Schallopp Defense,6
I4zyNfPo,C48,Four Knights Game: Spanish Variation |  Classical Variation,8
6eQ92lsE,D00,Queen's Pawn Game: Mason Attack,3
8BLA0IOl,C42,Petrov's Defense #5,8
pMcUNK5E,A00,Hungarian Opening,1
Kzq2t2lB,A02,Bird Opening,1
a0VRhASu,C20,King's Pawn Opening: 2.b3,3
5gymGRgt,C42,Russian Game: Cochrane Gambit,7
Vyrkyifp,A02,Bird Opening,1
exEzRx87,C47,Four Knights Game: Italian Variation |  Noa Gambit,9
i3YfxFdL,A02,Bird Opening,1
8ctKV1wh,C42,Russian Game: Urusov Gambit,5
jVXtr42v,A00,Polish Opening,1
ZXM2sX4y,B24,Sicilian Defense: Closed Variation |  Fianchetto Variation,5
UFKSc5hH,A45,Indian Game: Tartakower Attack,3
jhA7bDVC,C67,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8
vc2eo2Sh,B11,Caro-Kann Defense,4
WgPBuJD6,C00,French Defense: Knight Variation,3
WtFUCKgj,A00,Van't Kruijs Opening,1
EQDn1BA7,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
AbDhfpnX,C41,Philidor Defense #3,5
Ger5Zno3,C60,Ruy Lopez: Cozio Defense,6
JHH8PcNq,C50,Italian Game,5
8Ie5Oesp,C50,Italian Game: Giuoco Pianissimo |  Normal,8
HN5jnzyI,E61,Indian Game: West Indian Defense,4
GRAng26s,B50,Sicilian Defense,4
TaaLCuw6,C53,Italian Game: Classical Variation |  Closed Variation,8
R2JFua6L,C57,Italian Game: Two Knights Defense |  Traxler Counterattack,8
LcPvndOa,C50,Italian Game: Hungarian Defense,6
oWSctoZp,C23,Bishop's Opening,3
m793jf7F,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
UaulsArt,C44,Ponziani Opening,5
EL3LK94E,C55,Italian Game: Anti-Fried Liver Defense,6
PcXdgcJJ,C60,Ruy Lopez: Cozio Defense,6
XGG3VNC9,C57,Italian Game: Two Knights Defense |  Knight Attack,7
n1hgevhj,C42,Petrov's Defense #2,5
q5P7mAB4,C23,Bishop's Opening,3
sl4N6t22,A00,Polish Opening,1
DhoFXYNH,C45,Scotch Game: Classical Variation,8
q6FmC8Id,B96,Sicilian Defense: Najdorf Variation,13
2CvZyh4h,C53,Italian Game: Classical Variation #2,7
Psin3ost,C50,Italian Game,5
AaSSYIy6,C34,King's Gambit Accepted |  Fischer Defense,6
0lWtXgXo,C23,Bishop's Opening,3
IC0EFtA5,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
L8gPU593,C54,Italian Game: Giuoco Piano |  Aitken Variation,19
0PVGpBvD,A05,King's Indian Attack: Symmetrical Defense,4
2icRDIZI,D92,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,9
ktRhE4Ky,C55,Italian Game: Anti-Fried Liver Defense,6
5AYA7mBv,C00,French Defense: Knight Variation,3
qGThbTuM,A45,Indian Game,2
pLR3kRgy,B21,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,6
EdKqO9z1,B12,Caro-Kann Defense: Advance Variation,5
sAjNrfSm,C45,Scotch Game: Haxo Gambit,8
BON8sFeZ,A49,East Indian Defense,4
PREaBSqk,C41,Philidor Defense,5
CmAh08GF,E10,Blumenfeld Countergambit #2,6
FpZiajAh,C22,Center Game: Berger Variation,8
uFREIMDF,A04,Zukertort Opening: Queenside Fianchetto Variation,2
4Wozw7Zh,D00,Queen's Pawn Game #2,3
GIoSZf5k,C37,King's Gambit Accepted |  King's Knight Gambit,7
9r2yzwRq,A09,Reti Opening: Reti Accepted,4
e4UoYNOg,B90,Sicilian Defense: Najdorf Variation,10
sn4zdyQb,B01,Scandinavian Defense,2
ppPlxT3Q,A01,Nimzo-Larsen Attack: Modern Variation,2
D0idNTxu,C40,King's Knight Opening,3
yTbYtCF6,B00,King's Pawn Game: Nimzowitsch Defense,3
AEIBxJhK,A00,Van't Kruijs Opening,1
mwcADhNn,A20,English Opening: King's English Variation,2
ygHSZzNE,B00,Nimzowitsch Defense: Mikenas Variation,4
9MESu3hH,D00,Queen's Pawn Game: Chigorin Variation,3
tBXOrjlO,C21,Center Game #2,3
J5DYrnEf,C00,French Defense: Pelikan Variation,5
o5ZRUXrY,A00,Van't Kruijs Opening,1
e5CGewyU,C01,French Defense: Mediterranean Defense,4
fV2cuf3p,D02,Queen's Pawn Game: Chigorin Variation,4
baOLL2ej,C44,Ponziani Opening: Romanishin Variation,6
tHHd8ejz,C20,King's Pawn Game: Wayward Queen Attack,3
E9Es660b,D02,Queen's Pawn Game: Zukertort Variation,3
0Hl7FLEs,D02,Queen's Pawn Game: Symmetrical Variation,4
6pOeX4hN,D00,Queen's Pawn Game: Mason Attack,3
zALflmF8,D01,Queen's Pawn Game: Chigorin Variation,4
F8euV2Zp,D01,Queen's Pawn Game: Chigorin Variation,4
VC0euQZC,C40,King's Knight Opening,3
F0rtsvLh,B01,Scandinavian Defense,2
vI6soB0y,C41,Philidor Defense: Exchange Variation #2,7
RHqtUgcA,A00,Van't Kruijs Opening,1
pCdIqYQn,B00,Owen Defense,2
7DyaFpEQ,A00,Hungarian Opening,1
gDy9stbN,C88,Ruy Lopez: Closed Variations |  Rosen Attack,15
4C9wlcMh,B00,Owen Defense,2
J2JnXESd,A00,Van't Kruijs Opening,1
fYXWmMQo,B00,Owen Defense,2
0izXEQL0,C41,Philidor Defense #3,5
C7ZN9Vt6,B40,Sicilian Defense: French Variation,4
nXAMBzZC,C00,French Defense #2,2
PDmTWzdY,C01,French Defense: Exchange Variation,5
l33LvAGO,C00,French Defense: Knight Variation,3
VVMmBXVj,A46,Torre Attack #2,3
J7LsFrHs,D02,Queen's Pawn Game: Zukertort Variation,3
nrOeTNGE,C02,French Defense: Advance Variation |  Paulsen Attack,9
o8It5NwS,A00,Creepy Crawly Formation: Classical Defense,4
KYR2S7f1,D00,Queen's Pawn Game: Mason Attack,3
lUfS2I5H,A00,Creepy Crawly Formation: Classical Defense,4
9GK7Wbwa,C50,Italian Game: Giuoco Pianissimo |  Normal,8
RQKVDRu3,B34,Sicilian Defense: Accelerated Dragon |  Modern Variation,9
gzD3S9qf,C40,Elephant Gambit,4
aqIy0Ek9,A01,Nimzo-Larsen Attack: Classical Variation,2
F9LhXEvk,C03,French Defense: Tarrasch Variation,5
scqVJjj2,E20,Nimzo-Indian Defense: Ragozin Variation,8
BoBZJpRS,B13,Caro-Kann Defense: Exchange Variation,5
5VAOl0rA,B00,Caro-Kann Defense: Hillbilly Attack,3
TMNMnaD7,B12,Caro-Kann Defense: Advance Variation,5
ERl5w1Lb,C40,Latvian Gambit,4
XLvG0Fxw,A00,Global Opening,3
kI6eU49k,C33,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,6
wbR4KA2i,C33,King's Gambit Accepted |  Bishop's Gambit,5
eTcONlGD,C55,Italian Game: Two Knights Defense,6
AFrSI2mE,B02,Alekhine Defense: Scandinavian Variation,4
Of7utwYA,B02,Alekhine Defense,2
MbJQrZqR,A40,Horwitz Defense,2
57CfXLeQ,B06,Modern Defense: Geller's System,7
6jtIjE2R,B03,Alekhine Defense,6
jsfpSHaf,D00,Queen's Pawn Game: Mason Attack,3
CPDDgugd,B10,Caro-Kann Defense: Accelerated Panov Attack,3
RXnpG2TZ,D00,Queen's Pawn Game: Mason Attack,3
FgNBqN3z,B02,Alekhine Defense: Scandinavian Variation,4
ploTbJ6s,B01,Scandinavian Defense: Modern Variation #2,4
hbxnJvqu,E00,Indian Game: East Indian Defense,4
eZH6krXF,C11,French Defense: Steinitz Variation #2,11
qKXrw2ki,A45,Trompowsky Attack,3
FhfFRSoX,D00,Queen's Pawn Game: Mason Attack,3
EHmTVpmX,B01,Scandinavian Defense: Modern Variation #2,4
XUuJhAEP,A80,Dutch Defense,2
1CEn79ih,B01,Scandinavian Defense: Panov Transfer,6
EHODQ73d,B01,Scandinavian Defense: Panov Transfer,6
Wt4pO0yV,A40,Englund Gambit,2
37DIkyQP,B01,Scandinavian Defense,2
BThm18qK,A48,London System,5
IgqWb3wU,B01,Scandinavian Defense: Modern Variation #2,4
TAdphcbm,A40,Modern Defense,2
63lPam9c,A11,English Opening: Caro-Kann Defensive System,2
I400IkFs,A45,Indian Game,2
Q9Bk2G35,D00,Queen's Pawn Game: Mason Attack,3
irRJlNd6,A81,Dutch Defense: Fianchetto Attack,3
bubeMcp6,D02,Queen's Pawn Game: London System,5
pxoOFfHH,B03,Alekhine Defense,6
Av8udV1F,A45,Indian Game,2
RIrGfA5F,B05,Alekhine Defense: Modern Variation |  Main Line,8
GlTzWj5E,B01,Scandinavian Defense,2
lFN4Gvv1,A45,Indian Game,2
cJRIpA0K,C00,French Defense: Knight Variation,3
4u0MUqHf,C41,Philidor Defense: Hanham Variation,6
68pMrUFp,B54,Sicilian Defense #2,6
hz2R5AX6,C00,French Defense: Pelikan Variation,5
ZbjPJQvo,C00,French Defense: Schlechter Variation,5
rbcpm9pr,B53,Sicilian Defense: Chekhover Variation,7
3fubUQ1L,B06,Modern Defense: Mongredien Defense #2,6
QYc8zif6,D00,Queen's Pawn Game,2
afXDSWwS,D10,Slav Defense,4
kzO8xpo0,B08,Pirc Defense: Classical Variation,8
lfKoLKHr,B06,Modern Defense: Three Pawns Attack,5
DcNnJYPu,C30,King's Gambit Declined |  Queen's Knight Defense,4
